branch,canonical_field,source_dataset,source_column,match_type,is_fuzzy,fallback_used
Network,flow_duration,UAVIDS-2025,FlowDuration/s,EXACT,False,NONE
Network,tx_packets,UAVIDS-2025,TxPackets,EXACT,False,NONE
Network,rx_packets,UAVIDS-2025,RxPackets,EXACT,False,NONE
Network,tx_bytes,UAVIDS-2025,TxBytes,EXACT,False,NONE
Network,rx_bytes,UAVIDS-2025,RxBytes,EXACT,False,NONE
Network,packet_rate,UAVIDS-2025,TxPacketRate/s,EXACT,False,NONE
Network,byte_rate,UAVIDS-2025,TxByteRate/s,EXACT,False,NONE
Network,mean_packet_size,UAVIDS-2025,MeanPacketSize,EXACT,False,NONE
Network,mean_delay,UAVIDS-2025,MeanDelay/s,EXACT,False,NONE
Network,mean_jitter,UAVIDS-2025,MeanJitter/s,EXACT,False,NONE
Network,lost_packets,UAVIDS-2025,LostPackets,EXACT,False,NONE
Network,flag_syn,UAVIDS-2025,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,UAVIDS-2025,N/A,MISSING,False,LEFT_AS_NAN
Network,ttl_or_hops,UAVIDS-2025,AverageHopCount,EXACT,False,NONE
Network,protocol_type,UAVIDS-2025,Protocol,EXACT,False,NONE
Network,total_bytes,UAVIDS-2025,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,UAVIDS-2025,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,UAVIDS-2025,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,Dataset_T-ITS_Seg1_Network,wlan.duration,FUZZY,True,NONE
Network,tx_packets,Dataset_T-ITS_Seg1_Network,frame.number,FUZZY,True,NONE
Network,rx_packets,Dataset_T-ITS_Seg1_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_packets,Dataset_T-ITS_Seg1_Network,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,tx_bytes,Dataset_T-ITS_Seg1_Network,frame.len,FUZZY,True,NONE
Network,rx_bytes,Dataset_T-ITS_Seg1_Network,data.len,FUZZY,True,NONE
Network,packet_rate,Dataset_T-ITS_Seg1_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg1_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg1_Network,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,Dataset_T-ITS_Seg1_Network,frame.len,FUZZY,True,NONE
Network,mean_delay,Dataset_T-ITS_Seg1_Network,time_since_last_packet,FUZZY,True,NONE
Network,mean_jitter,Dataset_T-ITS_Seg1_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,lost_packets,Dataset_T-ITS_Seg1_Network,wlan.frag,FUZZY,True,NONE
Network,flag_syn,Dataset_T-ITS_Seg1_Network,N/A,MISSING,False,LEFT_AS_NAN
