branch,feature,null_count,null_percentage,action
Physical,height,0,0.0,KEEP
Physical,velocity_x,0,0.0,KEEP
Physical,velocity_y,0,0.0,KEEP
Physical,velocity_z,0,0.0,KEEP
Physical,battery_pct,0,0.0,KEEP
Physical,barometer,0,0.0,KEEP
Physical,flight_time,0,0.0,KEEP
Physical,distance_tof,0,0.0,KEEP
Physical,speed_norm,0,0.0,KEEP
Physical,speed_horizontal,0,0.0,KEEP
Physical,kinetic_energy_z_proxy,0,0.0,KEEP
Physical,accel_z_approx,0,0.0,KEEP
Network,flow_duration,0,0.0,KEEP
Network,tx_packets,0,0.0,KEEP
Network,rx_packets,0,0.0,KEEP
Network,tx_bytes,0,0.0,KEEP
Network,rx_bytes,1,0.0,IMPUTE_MEDIAN
Network,packet_rate,8,0.0,IMPUTE_MEDIAN
Network,byte_rate,8,0.0,IMPUTE_MEDIAN
Network,mean_packet_size,0,0.0,KEEP
Network,mean_delay_iat,0,0.0,KEEP
Network,jitter_iat_std,1,0.0,IMPUTE_MEDIAN
Network,lost_packets_or_drop,0,0.0,KEEP
Network,flag_syn,0,0.0,KEEP
Network,flag_ack,0,0.0,KEEP
Network,ttl_or_hops,18166,8.2,IMPUTE_MEDIAN
Network,protocol_type,129596,58.48,DROP_COLUMN
